name,type,address
봉양3공원,culture_park,강원도 정선군 정선읍 봉양리 281-2
봉양3공원,culture_park,강원도 정선군 정선읍 봉양리 73-2
북실2공원,culture_park,강원도 정선군 정선읍 북실리 744-3
북실1공원,culture_park,강원도 정선군 정선읍 북실리 753
북실3공원,culture_park,강원도 정선군 정선읍 북실리 831
애산공원,culture_park,강원도 정선군 정선읍 애산리 432-452
아리랑근린공원,culture_park,강원도 정선군 정선읍 애산리 560 정선아리랑 생활문화센터
수변공원,culture_park,강원도 정선군 화암면 화암리 1114
지포2공원,culture_park,강원도 철원군 갈말읍 군탄리 1028-8
군탄공원,culture_park,강원도 철원군 갈말읍 군탄리 253-1
역사공원4(승일공원),culture_park,강원도 철원군 갈말읍 내대리 550
신철원공원(현충탑),culture_park,강원도 철원군 갈말읍 신철원리 452-17
명성공원,culture_park,강원도 철원군 갈말읍 신철원리 721
지포공원,culture_park,강원도 철원군 갈말읍 지포리 123
육단1어린이공원,culture_park,강원도 철원군 근남면 육단리 265
수변공원6,culture_park,강원도 철원군 김화읍 청양리 3496
김화공원,culture_park,강원도 철원군 김화읍 학사리 261-2
대교천공원,culture_park,강원도 철원군 동송읍 오덕리 946-38
에너지공원,culture_park,강원도 철원군 동송읍 이평리 848-34
사문안천공원,culture_park,강원도 철원군 동송읍 이평리 859-3
체육공원(하늘숲땅숲공원),culture_park,강원도 철원군 동송읍 이평리 산 114
와수제2공원,culture_park,강원도 철원군 서면 와수리 1157-4
와수제1공원,culture_park,강원도 철원군 서면 와수리 1192
남대공원(달빛공원),culture_park,강원도 철원군 서면 와수리 1247
와수제6공원,culture_park,강원도 철원군 서면 와수리 1338-1
와수제5공원,culture_park,강원도 철원군 서면 와수리 2409-1
두루미평화공원,culture_park,강원도 철원군 철원읍 대마리 27-2
화지3공원,culture_park,강원도 철원군 철원읍 화지리 62-39
화지5공원,culture_park,강원도 철원군 철원읍 화지리 978
화지4공원,culture_park,강원도 철원군 철원읍 화지리 산15-1
공원,culture_park,강원도 춘천시 근화동 203
공원,culture_park,강원도 춘천시 근화동 242-1
공지조각공원,culture_park,강원도 춘천시 근화동 361-1
공원,culture_park,강원도 춘천시 근화동 453-1
공원,culture_park,강원도 춘천시 근화동 464-1
공원,culture_park,강원도 춘천시 근화동 467-1
근화동공원,culture_park,강원도 춘천시 근화동 710-37
앞두루공원,culture_park,강원도 춘천시 근화동 747-3
근화동공원,culture_park,강원도 춘천시 근화동 793-1
공원,culture_park,강원도 춘천시 근화동 796-33
공원,culture_park,강원도 춘천시 근화동 799-22
문화공원,culture_park,강원도 춘천시 낙원동 95-1
공원,culture_park,강원도 춘천시 남산면 방곡리 629-59
창촌리공원,culture_park,강원도 춘천시 남산면 창촌리 686
못밖공원,culture_park,강원도 춘천시 동내면 거두리 1015
가마바위공원,culture_park,강원도 춘천시 동내면 거두리 1092
큰골공원,culture_park,강원도 춘천시 동내면 거두리 1115
거두리공원,culture_park,강원도 춘천시 동내면 거두리 1156
동내대룡공원,culture_park,강원도 춘천시 동내면 거두리 993
동내체육공원,culture_park,강원도 춘천시 동내면 거두리 산 1
공원,culture_park,강원도 춘천시 동내면 학곡리 392-2
공원,culture_park,강원도 춘천시 동내면 학곡리 산 13-3
손흥민체육공원,culture_park,강원도 춘천시 동면 감정리 736
새로움공원,culture_park,강원도 춘천시 동면 만천리 976 춘천만천엘에이치아파트
만천제1공원,culture_park,강원도 춘천시 동면 만천리 979
신남공원,culture_park,강원도 춘천시 동면 만천리 984 KCC스위첸아파트
만천제2공원,culture_park,강원도 춘천시 동면 만천리 984 KCC스위첸아파트
공원,culture_park,강원도 춘천시 동면 장학리 1008-1
너울숲공원,culture_park,강원도 춘천시 동면 장학리 999
공원,culture_park,강원도 춘천시 동산면 군자리 1381
공원,culture_park,강원도 춘천시 동산면 봉명리 1106-2
공원,culture_park,강원도 춘천시 북산면 추곡리 135-2
태극공원,culture_park,강원도 춘천시 사농동 158 현대아파트
해오름공원,culture_park,강원도 춘천시 사농동 158-2
공원,culture_park,강원도 춘천시 삼천동 795
의암공원,culture_park,강원도 춘천시 삼천동 산 9-3
공원,culture_park,강원도 춘천시 서면 현암리 367-3 강원정보문화진흥원
현암리공원,culture_park,강원도 춘천시 서면 현암리 894 춘천 박사마을 어린이글램핑장
곰도리공원,culture_park,강원도 춘천시 석사동 647-5
벌말공원,culture_park,강원도 춘천시 석사동 658
푸르미공원,culture_park,강원도 춘천시 석사동 668
